A,W,MT,ID
128,32,911,2
128,32,944,2
128,32,912,2
128,32,1001,2
128,32,743,2
512,16,1352,5
512,16,2207,5
512,16,1216,5
512,16,976,5
512,16,1384,5
128,64,768,2
128,64,584,2
128,64,560,2
128,64,552,2
128,64,776,2
512,32,944,4
512,32,1072,4
512,32,696,4
512,32,1184,4
512,32,735,4
128,16,761,3
128,16,871,3
128,16,1360,3
128,16,768,3
128,16,1289,3
256,32,824,3
256,32,760,3
256,32,728,3
256,32,1121,3
256,32,591,3
512,64,984,3
512,64,1096,3
512,64,1080,3
512,64,824,3
512,64,913,3
256,16,1448,4
256,16,1247,4
256,16,1009,4
256,16,1112,4
256,16,1016,4
256,64,568,2
256,64,696,2
256,64,576,2
256,64,744,2
256,64,568,2
