A,W,MT,ID
16,1,1457,4
16,1,2063,4
16,1,2025,4
16,1,2197,4
16,1,1842,4
32,4,1558,3
32,4,2410,3
32,4,1388,3
32,4,2086,3
32,4,1722,3
32,2,1479,4
32,2,4174,4
32,2,1784,4
32,2,1641,4
32,2,1510,4
8,2,2067,2
8,2,1703,2
8,2,1206,2
8,2,1479,2
8,2,1773,2
8,4,1305,2
8,4,1510,2
8,4,1267,2
8,4,1316,2
8,4,1176,2
16,4,1409,2
16,4,1104,2
16,4,1186,2
16,4,1226,2
16,4,1298,2
32,1,1359,5
32,1,1976,5
32,1,1591,5
32,1,1914,5
32,1,2704,5
16,2,1205,3
16,2,1722,3
16,2,1246,3
16,2,1651,3
16,2,2037,3
8,1,3841,3
8,1,1144,3
8,1,1783,3
8,1,1135,3
8,1,1560,3
